flight_id,t,x,y,z
11,1140199,0.015397391,0.153553972,0.11602194
11,1140204,0.016381765,0.151312505,0.11618001
11,1140209,0.017185182,0.149230271,0.116233419
11,1140214,0.018214953,0.146722002,0.116056148
11,1140219,0.018899768,0.144950374,0.116222187
11,1140224,0.019837956,0.142766078,0.115968959
11,1140229,0.020657432,0.140569096,0.116241892
11,1140234,0.021501491,0.138440158,0.11588165
11,1140239,0.022307272,0.136373375,0.115815155
11,1140244,0.023409335,0.134089371,0.116242748
11,1140249,0.024233538,0.131955017,0.116123827
11,1140254,0.025031923,0.129848444,0.116213897
11,1140259,0.025746177,0.12800377,0.115937284
11,1140264,0.026505238,0.126028959,0.115918148
11,1140269,0.027249622,0.124023886,0.115914487
11,1140274,0.028085581,0.121942495,0.117140057
11,1140279,0.028899769,0.119849247,0.115855057
11,1140284,0.029823723,0.117510082,0.112457425
11,1140289,0.030641737,0.115310264,0.109536601
11,1140294,0.031487727,0.1132755,0.104953544
11,1140299,0.032343903,0.111150453,0.105037557
11,1140304,0.033182659,0.109058433,0.101583307
11,1140309,0.034237685,0.10696273,0.094677086
11,1140314,0.03512912,0.104891305,0.093115182
11,1140319,0.035925644,0.102807999,0.090806194
11,1140324,0.036796147,0.100783208,0.086867683
11,1140329,0.037726835,0.098632608,0.08422036
11,1140334,0.038540469,0.096568743,0.083538677
11,1140339,0.039262889,0.094572622,0.079816169
11,1140344,0.040021917,0.092534348,0.076648759
11,1140349,0.04077877,0.090626489,0.07521842
11,1140354,0.041491168,0.088738274,0.072724446
11,1140359,0.042165299,0.086903452,0.069345144
11,1140364,0.042818453,0.085106462,0.065240769
11,1140369,0.043541353,0.083221273,0.065161341
11,1140374,0.044246789,0.081462209,0.061630004
11,1140379,0.044892202,0.079829043,0.05792817
11,1140384,0.045555476,0.078154311,0.056426308
11,1140389,0.046182992,0.076673358,0.054290479
11,1140394,0.046856282,0.075112058,0.050807155
11,1140399,0.047525376,0.07350596,0.050947138
11,1140404,0.048193444,0.071867586,0.0466559
11,1140409,0.048822399,0.070326,0.046474491
11,1140414,0.049504752,0.068752773,0.044397089
11,1140419,0.050187975,0.067229281,0.042456996
11,1140424,0.050833828,0.065707022,0.038854077
11,1140429,0.051581669,0.064102654,0.037161434
11,1140434,0.052218256,0.062720445,0.035321443
11,1140439,0.05286308,0.061174684,0.033618417
11,1140444,0.05352131,0.059644325,0.031508354
11,1140449,0.054210572,0.058096454,0.028964543
11,1140454,0.054779422,0.056622682,0.027417257
11,1140459,0.055409558,0.054971063,0.023776757
11,1140464,0.055936887,0.053631244,0.022476233
11,1140469,0.056507537,0.052163853,0.020847872
11,1140474,0.057115464,0.050619582,0.019043883
11,1140479,0.057838242,0.04903463,0.016203749
11,1140484,0.058404707,0.047531217,0.015570886
11,1140489,0.05921822,0.045837773,0.011624305
11,1140494,0.05980042,0.044321332,0.008112065
11,1140499,0.060497243,0.0426885,0.007441346
11,1140504,0.061062122,0.041196363,0.006938832
11,1140509,0.061609587,0.039728487,0.007221077
11,1140514,0.06211848,0.038322606,0.007173904
11,1140519,0.062788151,0.036964499,0.008190674
11,1140524,0.063284846,0.036014926,0.00804744
11,1140529,0.06381664,0.035185712,0.008101201
11,1140534,0.064107128,0.034428847,0.009090189
12,1656912,-0.136456996,-0.393243224,0.393101918
12,1656917,-0.136418604,-0.390130909,0.392561132
12,1656921,-0.135968138,-0.38726047,0.391678616
12,1656927,-0.134331662,-0.384595964,0.390778363
12,1656932,-0.133145095,-0.382024991,0.391634421
12,1656936,-0.131299535,-0.379072863,0.391750762
12,1656942,-0.129990423,-0.376955116,0.39154437
12,1656946,-0.128680297,-0.3742364,0.391535544
12,1656952,-0.127600422,-0.371660218,0.391606754
12,1656956,-0.126336884,-0.369067591,0.39185175
12,1656961,-0.125149179,-0.366388709,0.391687127
12,1656967,-0.123854481,-0.363375237,0.391793821
12,1656971,-0.123049825,-0.361061383,0.391426934
12,1656977,-0.121853002,-0.358327591,0.391560626
12,1656981,-0.120703176,-0.355662008,0.39188209
12,1656986,-0.119510552,-0.352996056,0.391617691
12,1656991,-0.118332911,-0.350334243,0.391498834
12,1656996,-0.11707098,-0.347315118,0.387266397
